"","nazov","price","year","km","kw","kraj","fuel","trans"
"740","Škoda",17800,2016,153300,135,"BB kraj","Diesel","Automat"
"741","Škoda",17800,2016,99084,135,"ZA kraj","Diesel","Automat"
"742","Škoda",17800,2018,130994,110,"TT kraj","Diesel","Automat"
"743","Škoda",17820,2018,93100,85,"BA kraj","Diesel","Manuál"
"744","Škoda",17890,2018,99000,110,"NR kraj","Diesel","Automat"
"745","Škoda",17900,2018,119247,110,"TT kraj","Diesel","Automat"
"746","Škoda",17900,2018,79249,85,"BA kraj","Diesel","Manuál"
"747","Škoda",17940,2019,72327,85,"NR kraj","Diesel","Manuál"
"748","Škoda",17990,2017,153739,135,"KE kraj","Diesel","Automat"
"749","Škoda",17990,2018,154557,110,"ZA kraj","Diesel","Automat"
"750","Škoda",17990,2019,185053,85,"NR kraj","Diesel","Automat"
"751","Škoda",17990,2019,123510,110,"BA kraj","Diesel","Automat"
"752","Škoda",17990,2017,81551,110,"KE kraj","Diesel","Manuál"
"753","Škoda",17990,2017,161439,110,"KE kraj","Diesel","Manuál"
"754","Škoda",17990,2018,157500,110,"PO kraj","Diesel","Automat"
"755","Škoda",17990,2019,95524,85,"KE kraj","Diesel","Manuál"
"756","Škoda",17990,2017,47350,85,"KE kraj","Diesel","Manuál"
"757","Škoda",17990,2017,153702,135,"KE kraj","Diesel","Automat"
"758","Škoda",17990,2017,179000,110,"NR kraj","Diesel","Manuál"
"759","Škoda",17990,2019,85113,85,"TT kraj","Benzín","Manuál"
"760","Škoda",17990,2018,78225,85,"BA kraj","Diesel","Manuál"
"761","Škoda",17990,2018,94561,85,"BA kraj","Diesel","Manuál"
"762","Škoda",17999,2018,154026,110,"PO kraj","Diesel","Automat"
"763","Škoda",17999,2019,118979,110,"BA kraj","Diesel","Automat"
"764","Škoda",17999,2018,168467,110,"BB kraj","Diesel","Manuál"
"765","Škoda",17999,2018,68892,85,"TT kraj","Diesel","Automat"
"766","Škoda",18000,2017,155000,110,"ZA kraj","Diesel","Automat"
"767","Škoda",18190,2019,141790,85,"TT kraj","Diesel","Automat"
"768","Škoda",18300,2018,109000,110,"NR kraj","Diesel","Automat"
"769","Škoda",18300,2018,92048,110,"KE kraj","Diesel","Manuál"
"770","Škoda",18400,2017,138484,110,"PO kraj","Diesel","Automat"
"771","Škoda",18499,2016,116108,132,"BA kraj","Benzín","Automat"
"772","Škoda",18500,2018,197970,110,"TN kraj","Diesel","Automat"
"773","Škoda",18500,2018,181663,110,"TT kraj","Diesel","Automat"
"774","Škoda",18500,2018,94168,110,"BA kraj","Benzín","Automat"
"775","Škoda",18611,2018,99803,132,"NR kraj","Benzín","Manuál"
"776","ŠKODA",18625,2018,115984,85,"TN kraj","Diesel","Automat"
"777","ŠKODA",18690,2018,62295,85,"TN kraj","Diesel","Manuál"
"778","Škoda",18700,2017,161442,135,"NR kraj","Diesel","Automat"
"779","Škoda",18790,2019,73150,85,"BA kraj","Diesel","Manuál"
"780","Škoda",18790,2019,81616,85,"ZA kraj","Diesel","Manuál"
"781","Škoda",18790,2019,105725,110,"NR kraj","Diesel","Automat"
"782","Škoda",18800,2017,80894,162,"PO kraj","Benzín","Manuál"
"783","Škoda",18850,2018,43900,110,"BB kraj","Diesel","Automat"
"784","Škoda",18890,2018,193782,135,"TN kraj","Diesel","Automat"
"785","Škoda",18900,2019,99152,110,"PO kraj","Diesel","Automat"
"786","Škoda",18990,2017,228004,135,"KE kraj","Diesel","Automat"
"787","Škoda",18990,2018,123365,180,"NR kraj","Benzín","Manuál"
"788","Škoda",18990,2018,148803,110,"KE kraj","Diesel","Automat"
"789","ŠKODA",18990,2018,65633,110,"BA kraj","Benzín","Automat"
"790","Škoda",18990,2019,38131,110,"ZA kraj","Benzín","Manuál"
"791","Škoda",18999,2018,149500,85,"BA kraj","Diesel","Automat"
"792","Škoda",19150,2017,137000,135,"TT kraj","Diesel","Automat"
"793","Škoda",19199,2018,156652,110,"BB kraj","Diesel","Manuál"
"794","Škoda",19200,2018,164000,110,"BA kraj","Diesel","Automat"
"795","Škoda",19400,2017,151400,135,"NR kraj","Diesel","Automat"
"796","Škoda",19450,2018,120000,85,"BA kraj","Diesel","Automat"
"797","Škoda",19490,2017,170522,169,"KE kraj","Benzín","Manuál"
"798","Škoda",19490,2017,161501,135,"KE kraj","Diesel","Manuál"
"799","Škoda",19500,2017,192365,135,"BB kraj","Diesel","Automat"
"800","Škoda",19500,2018,133442,110,"NR kraj","Benzín","Automat"
"801","Škoda",19500,2017,155722,135,"NR kraj","Diesel","Automat"
"802","Škoda",19500,2016,103000,162,"ZA kraj","Benzín","Automat"
"803","Škoda",19690,2017,141200,135,"ZA kraj","Diesel","Automat"
"804","Škoda",19750,2018,80000,110,"BB kraj","Diesel","Manuál"
"805","ŠKODA",19790,2019,97900,110,"TN kraj","Benzín","Automat"
"806","Škoda",19900,2018,85000,110,"TT kraj","Diesel","Automat"
"807","Škoda",19900,2018,165000,110,"TT kraj","Diesel","Automat"
"808","Škoda",19900,2018,98830,110,"KE kraj","Diesel","Manuál"
"809","Škoda",19900,2019,128269,135,"ZA kraj","Diesel","Automat"
"810","Škoda",19900,2017,127320,135,"ZA kraj","Diesel","Automat"
"811","Škoda",19950,2018,113500,110,"PO kraj","Diesel","Automat"
"812","Škoda",19990,2019,120800,110,"PO kraj","Diesel","Automat"
"813","Škoda",19990,2017,183998,135,"KE kraj","Diesel","Automat"
"814","Škoda",19990,2017,81617,110,"BA kraj","Diesel","Manuál"
"815","Škoda",19999,2017,50002,110,"ZA kraj","Benzín","Automat"
"816","Škoda",19999,2020,32330,96,"BA kraj","Benzín","Automat"
"817","Škoda",19999,2016,114600,162,"BB kraj","Benzín","Automat"
"818","Škoda",20000,2017,162000,135,"KE kraj","Diesel","Automat"
"819","Škoda",20000,2018,155078,110,"BA kraj","Diesel","Automat"
"820","Škoda",20050,2019,184476,135,"NR kraj","Diesel","Automat"
"821","Škoda",20490,2018,160687,135,"KE kraj","Diesel","Automat"
"822","Škoda",20900,2018,62455,132,"ZA kraj","Benzín","Automat"
"823","Škoda",20990,2019,91468,110,"KE kraj","Diesel","Automat"
"824","Škoda",20990,2018,160181,135,"TT kraj","Diesel","Automat"
"825","Škoda",20990,2018,98423,110,"BB kraj","Diesel","Automat"
"826","Škoda",21000,2017,159000,110,"BA kraj","Diesel","Automat"
"827","Škoda",21200,2017,119040,135,"PO kraj","Diesel","Automat"
"828","Škoda",21350,2018,86800,135,"NR kraj","Diesel","Automat"
"829","Škoda",21400,2018,79297,110,"PO kraj","Diesel","Automat"
"830","Škoda",21499,2019,170000,135,"ZA kraj","Diesel","Automat"
"831","Škoda",21499,2019,182317,135,"TT kraj","Diesel","Automat"
"832","Škoda",21500,2018,106000,135,"KE kraj","Diesel","Automat"
"833","Škoda",21650,2019,72000,110,"PO kraj","Diesel","Automat"
"834","Škoda",21999,2018,129305,132,"ZA kraj","Benzín","Automat"
"835","Škoda",22000,2018,63935,132,"TN kraj","Benzín","Automat"
"836","Škoda",22400,2019,135641,135,"BA kraj","Diesel","Automat"
"837","Škoda",22490,2020,83634,85,"BA kraj","Diesel","Manuál"
"838","Škoda",22490,2018,71950,110,"ZA kraj","Diesel","Automat"
"839","Škoda",22500,2018,120000,135,"BA kraj","Diesel","Automat"
"840","Škoda",22690,2020,82797,85,"BA kraj","Diesel","Manuál"
"841","Škoda",22750,2017,126000,135,"ZA kraj","Diesel","Automat"
"842","Škoda",22800,2018,46806,140,"BA kraj","Benzín","Automat"
"843","Škoda",22990,2019,72543,110,"PO kraj","Diesel","Automat"
"844","Škoda",22990,2017,111725,169,"TN kraj","Benzín","Automat"
"845","Škoda",22990,2019,114000,110,"NR kraj","Diesel","Automat"
"846","Škoda",22990,2019,99999,135,"BB kraj","Diesel","Automat"
"847","Škoda",23000,2018,91993,110,"PO kraj","Diesel","Automat"
"848","Škoda",23000,2020,114634,110,"KE kraj","Diesel","Automat"
"849","Škoda",23040,2019,66000,110,"BA kraj","Diesel","Automat"
"850","ŠKODA",23490,2018,64627,132,"TN kraj","Benzín","Automat"
"851","Škoda",23499,2017,149690,135,"ZA kraj","Diesel","Automat"
"852","Škoda",23499,2019,56469,110,"BA kraj","Diesel","Automat"
"853","Škoda",23500,2019,1e+05,135,"BA kraj","Diesel","Automat"
"854","Škoda",23590,2020,59960,110,"NR kraj","Diesel","Automat"
"855","Škoda",23990,2020,90000,135,"BA kraj","Diesel","Automat"
"856","Škoda",23990,2019,89000,110,"ZA kraj","Diesel","Automat"
"857","Škoda",24299,2017,160920,135,"ZA kraj","Diesel","Automat"
"858","Škoda",24500,2018,39444,110,"BA kraj","Diesel","Automat"
"859","Škoda",24900,2017,126000,135,"ZA kraj","Diesel","Automat"
"860","Škoda",24900,2019,69000,110,"PO kraj","Diesel","Automat"
"861","Škoda",24900,2018,111000,135,"ZA kraj","Diesel","Automat"
"862","Škoda",24990,2019,74000,140,"TN kraj","Benzín","Automat"
"863","Škoda",24999,2020,26866,135,"BA kraj","Diesel","Automat"
"864","Škoda",25000,2021,44000,85,"BA kraj","Diesel","Manuál"
"865","Škoda",25500,2017,55078,180,"KE kraj","Benzín","Manuál"
"866","Škoda",25990,2019,55000,135,"BB kraj","Diesel","Automat"
"867","Škoda",26000,2018,93500,135,"ZA kraj","Diesel","Automat"
"868","Škoda",26100,2020,25122,85,"BA kraj","Diesel","Manuál"
"869","Škoda",26190,2020,63577,110,"ZA kraj","Diesel","Automat"
"870","Škoda",26700,2019,115000,135,"BA kraj","Diesel","Automat"
"871","Škoda",26900,2020,20051,110,"TT kraj","Benzín","Manuál"
"872","Škoda",26900,2020,14896,85,"BA kraj","Diesel","Manuál"
"873","Škoda",26900,2019,39000,140,"BA kraj","Benzín","Automat"
"874","Škoda",26900,2021,43124,85,"BA kraj","Diesel","Manuál"
"875","Škoda",26990,2019,113000,85,"BA kraj","Diesel","Automat"
"876","Škoda",27189,2022,6,110,"ZA kraj","Benzín","Manuál"
"877","Škoda",27189,2022,6,110,"ZA kraj","Benzín","Manuál"
"878","Škoda",27700,2021,17750,110,"BA kraj","Benzín","Manuál"
"879","Škoda",27800,2021,16090,85,"BA kraj","Diesel","Manuál"
"880","Škoda",27900,2020,26000,110,"BA kraj","Diesel","Automat"
