"return","amount","borrowerRate","term","A","AA","B","C","D","E","income","Employed","selfEmployed","bankcardUtil","realEstateBalance","Time","Time2"
11.6113599344115,9.04782144247841,0.1664,36,0,0,0,1,0,0,6611.66669999999,1,0,0,0,4673,2184.09315213531
7.12089285212441,9.39266192877014,0.22,36,0,0,0,0,0,0,6531.25,0,0,0.97,0,1036,107.329923750244
7.52921669094615,8.98719682066197,0.1089,36,1,0,0,0,0,0,9166.6667,1,0,0.97,0,3188,1016.04997945707
4.8420892669347,9.61580548008435,0.0974,36,1,0,0,0,0,0,6250,0,0,0.63,0,2613,682.521291475882
8.46722001914218,10.3089526606443,0.1259,60,0,0,1,0,0,0,6103.5,1,0,0,0,4409,1943.68062213393
3.6590581052248,8.82438373025606,0.0613,36,0,1,0,0,0,0,3583.3333,1,0,0.33,12.3212567513366,3605,1299.4323195299
10.5032770225215,9.90348755253613,0.1635,60,0,0,0,1,0,0,5833.3333,1,0,0.82,0,3157,996.935419175645
4.74241071966837,8.69951474821019,0.0751,36,0,1,0,0,0,0,2083.3333,1,0,0.4,12.3045731852653,3942,1553.74821169795
0.202323708433472,8.51719319141624,0.1575,36,0,0,0,0,0,0,3033.3333,0,0,0.23,0,877,76.8687842953794
11.4172691706516,10.1266311038503,0.1443,36,0,0,0,1,0,0,6108,1,0,0.77,11.8535462274035,3450,1190.08622646736
8.61890121346149,9.61580548008435,0.1054,60,1,0,0,0,0,0,3750,1,0,0,0,4611,2125.83509579663
4.83913215731919,8.85366542803745,0.0874,36,1,0,0,0,0,0,4166.6667,1,0,0.24,0,3093,956.522033077338
5.43249156194374,9.21034037197618,0.1736,36,0,0,0,1,0,0,13583.3333,1,0,0.96,12.3593600957391,3303,1091.28072901398
12.6283768991123,9.48036750918924,0.1593,60,0,0,0,1,0,0,6250,0,1,0.35,11.5913114163653,3376,1139.63333712533
-7.29461071311095,8.69951474821019,0.0736,36,0,1,0,0,0,0,2416.6667,1,0,0.01,11.3932518933764,3716,1380.75037199653
10.2171461255157,8.29404964010203,0.2124,36,0,0,0,1,0,0,4166.6667,0,1,0.64,0,2730,745.546243896511
-77.5458350085466,10.1266311038503,0.1706,60,0,0,0,1,0,0,4583.3333,1,0,0.87,12.3368947463359,3609,1302.8017008742
10.0167898320717,8.61250337122056,0.1695,60,0,0,0,1,0,0,6250,1,0,0.76,12.6190230024672,2898,839.726295125977
16.1601005430832,10.1266311038503,0.2544,36,0,0,0,0,1,0,5333.3333,1,0,0,0,4704,2212.49750876913
19.1093997983431,9.90348755253613,0.2242,60,0,0,0,0,1,0,11083.3333,1,0,0.71,12.4128794763482,3830,1466.68345324348
-1.10550532265357,8.61250337122056,0.1673,60,0,0,0,1,0,0,4000,1,0,0.61,0,3446,1187.33141426351
-7.2935656724722,8.00636756765025,0.1675,36,0,0,0,1,0,0,6666.6667,1,0,0.22,11.2236421111515,3241,1050.25690378843
5.22226148806091,9.25913053614561,0.097,36,1,0,0,0,0,0,3015.8333,0,1,0.46,11.6988737704865,3997,1597.94431811754
6.01255877573952,10.3089526606443,0.0844,36,0,1,0,0,0,0,10833.3333,1,0,0,0,4631,2145.01236896075
6.51781495632553,9.90348755253613,0.1278,36,0,0,1,0,0,0,5416.6667,1,0,0.87,11.9381932003746,3388,1148.17567859829
9.151,7.60090245954208,0.112,36,0,0,1,0,0,0,1451.6667,1,0,0.06,0,3871,1498.79697072014
-6.98057844244895,7.82404601085629,0.35,36,0,0,1,0,0,0,4166.6667,0,1,0.67,11.8347915492021,1407,197.897112505361
6.13426685982816,9.81465633882951,0.1198,36,0,0,1,0,0,0,8750.00000000001,1,0,0.76,11.614136382944,3626,1314.61452295092
8.45849885530743,8.51719319141624,0.1659,36,0,0,0,1,0,0,4166.6667,1,0,0.35,0,3957,1565.59631615779
6.7185504229359,9.61580548008435,0.1313,36,0,0,1,0,0,0,4333.3333,0,1,0.59,12.3344658602986,3667,1344.57559038941
7.19401600824534,10.1266311038503,0.14,36,0,0,1,0,0,0,11666.6667,1,0,0.72,0,2948,868.956202872035
15.7451902111924,8.1605182474775,0.2932,36,0,0,0,0,0,1,3916.6667,1,0,0.96,0,2848,810.974624645448
11.0566998159226,9.7981270368783,0.2248,60,0,0,0,0,1,0,3583.3333,1,0,0.83,11.1266892902156,3532,1247.82222183812
-19.3311788351001,10.0858091093301,0.1555,60,0,0,0,1,0,0,8583.33329999999,1,0,0.39,0,3378,1140.81614318609
6.53361303720728,8.20930841164694,0.1278,36,0,0,1,0,0,0,2916.6667,1,0,0.53,0,3332,1109.8975923248
3.10042421316792,9.21034037197618,0.0605,36,0,1,0,0,0,0,7916.6667,1,0,0.12,11.6889270930194,2959,875.278936424902
3.8448616534537,9.61580548008435,0.075,36,0,1,0,0,0,0,6666.6667,1,0,0,0,4180,1746.98059805459
-55.0934594697876,8.9226582995244,0.349,36,0,0,0,0,0,0,5491.6667,0,0,0.87,12.3775312468224,1783,317.813248420467
15.3884760364787,8.51719319141624,0.1967,36,0,0,0,0,1,0,3334,1,0,0.94,0,3371,1136.09411610512
15.6867767829169,8.51719319141624,0.186,60,0,0,0,1,0,0,3250,1,0,0.2,0,4063,1650.50107606665
8.08591074957043,9.87816974455184,0.103,60,0,0,1,0,0,0,10416.6667,1,0,0,0,4206,1769.40341628054
11.045913707051,9.10497985631836,0.1444,36,0,0,1,0,0,0,9166.6667,1,0,0,0,4630,2143.27579577398
3.29861288612663,9.90348755253613,0.0629,36,0,1,0,0,0,0,10416.6667,1,0,0.59,12.0194839976384,3165,1001.99695799823
0.690578422007748,7.3132203870903,0.0803,36,0,1,0,0,0,0,4583.3333,0,0,0.5,11.0348735348649,544,29.5969207598188
9.55412812521947,8.29404964010203,0.1736,36,0,0,0,1,0,0,1833.3333,0,0,0.88,0,3382,1143.68768565602
